

使用心得：搞活动，买了两支，应该是正品吧，相信京东的品质。还没用，用后再来详细评价。,使用心得：没有鉴别是否是正品，买004来送生日礼物的，顺便给自己买了一个001，两个包装不一样，001有一个塑料袋子包装，004的没有。其他的还好吧，赶上活动比较划算。打开的是001粉色的。,使用心得：滋润度很好，温感变色，很适合裸妆。,使用心得：买了2支，本来想买channel 的，但还是信赖京东自营，所以还是买了迪奥,使用心得：甜甜的味道  闻起来 沁人心脾   没有去验证  跟我之前在别的网站买的不一样   但是之前买的有胶皮味儿  还推不开  这个没有  真的很不错  还会再来买?,使用心得：很好，变色的，也不干，就是小贵，颜色喜欢,使用心得：原本要买烈焰蓝金，但是看到图二这个妹子和我要送的女孩子特别像，就买了这款。，我只想问图二的联系方式在哪里，我要看看全脸是不是真的很像,使用心得：是正品，在其他地方买了假的，盒子字体都是错的，LOGO直接是两个D，这次在京东买，回来就对比了，是正品！,使用心得：真心不错，这支。人忽略，看嘴上的颜色和滋润度,使用心得：买来送人的，都不知道挑什么颜色适合
使用心得：是正品，和专柜一样，膏体很顺滑 好涂.着色度很好.非常滋润，外壳包装也非常漂亮.贺卡可爱，口红颜色不错喜欢?,使用心得：发货和送货都很快，我开始拿到的时候还以为是鞋盒子，超大一个，口红被保护的很好。384颜色真的是帅爆了，很容易上色，亚光，颜色很好看，而且很持久防水，味道也超级好闻。,使用心得：365色号 用了一次闲置了*,使用心得：一收到就迫不及待的擦上了??,使用心得：东西不错，应该是正品，不过用报纸包裹包装就太low了～,使用心得：扫码提示来自法国，应该是正品，膏体没有损伤，有淡淡的玫瑰香味，包装有点儿简单化，没有塑封也没有袋子，整体还好,使用心得：物流蛮快的，拿到就试了下，颜色还蛮好看的，香香的味道，不干挺滋润，看中的颜色两款都没货，退而求其次这个还算满意。,使用心得：商品很好，但是不知道是物流还是什么原因。收货后是这样的。买了送人的，刚打开就这样。习惯给五星好评了,使用心得：很润，颜色很好看，很满意，比之前的口红上色效果都好！爱死了,使用心得：这款兰蔻口红，涂上感觉还不错，蛮滋润的。
使用心得：确定是专柜货，是正品！！！口红颜色很漂亮，保湿效果很赞，还送了很漂亮的礼盒和礼袋，店家人真是太好了，五星好评奉上,使用心得：物流很快就到了，口红颜色很漂亮，滋润度也很好，确定是正品，还送了礼盒和礼袋，真心喜欢，五星好评奉上,使用心得：之前在专柜买的，和这个一样，确定是正品。。。，没有色差，很滋润，不起皮，漂亮。。,使用心得：换成了唇膏的，完全是个惊喜，颜色超漂亮，好润好滑，比我之前专柜买的小羊皮高定好百倍呀，而且最重要是遮瑕能力好棒，这么久买到最合心意的唇膏，很开心,使用心得：到货之后还特地到实体店去对比了一下，完全正品，而且还比实体店便宜的多，不错,使用心得：给妈妈的母亲节礼物，妈妈超级喜欢，嘿嘿嘿 自己也买了一只，999红的很正，喜欢哦！入门口红必备！每天放在包里没事涂一下气色会好很多！,使用心得：正品行货，很满意的一次购物，口红很喜欢，一点都不干，很滋润。,使用心得：已经是第二次买了，真的是正品，推荐给大家，999颜色很漂亮，淡妆浓妆都很适宜，真心不错，好评,使用心得：口红很棒，店家很贴心的送了小礼物，真心不错，是正品，推荐给大家，真的很好看,使用心得：朋友很喜欢，谢谢啦~客服态度真的是超棒的~以后有需要还会再来~
使用心得：非常满意，漂亮，涂上很有女人味，嘴唇不干,使用心得：涂上去颜色特别好看 适合肤色白一点的人用。,使用心得：很有气场的颜色，很心水，很方便小小一支,使用心得：喜欢，颜色很自然，低调不张扬，适合上班族。,使用心得：东西不错，很适合想要的人,使用心得：有点感觉买到假货了，掉色很快！心里很不爽,使用心得：颜色好看  很喜欢用  大爱,使用心得：宝贝不错，很好用 喜欢,使用心得：超级棒，喜欢的宝贝们，快快下手吧！,使用心得：很不错，老婆很喜欢。值了


使用心得：涂起来很方便，好看，不愧是兰蔻，果然是pretty good 。而且我的同事也有问我在哪里买的，我有那么一瞬间觉得自己的眼光真好，哈哈哈哈哈哈??????,使用心得：发货很快，颜色很漂亮，是我喜欢的颜色，不错。,使用心得：实在是太好了，实在没想到能买到这样的东西，迷你版的，还没我手指头粗，本来要送女朋友，可是，这怎么让我拿的出手,使用心得：口红很香很香，还没开始用，今天刚收到的，买了两种小样，都挺喜欢的，大的老用不完，小样方便携带，就是小样颜色不全，以后还会继续回购的,使用心得：挺喜欢的，mini 款挺小的，但是转出来口红也够用了，不错不错，口红颜色有点淡，是带点橘色的珊瑚色，本来挺喜欢的,使用心得：蛮小巧，颜色不错,使用心得：一次买了不少东西 全球购满减 挺好呢 支持和京东商城,使用心得：还不错，味道香香的，很容易涂，涂薄薄一层适合日常，浓妆可以涂厚一点，颜色偏玫红色,使用心得：挺好看的，比较滋润，出门携带非常方便,使用心得：很喜欢，香香的，就是太小了，

使用心得：很好用，颜色非常漂亮。很值得拥有 好评,使用心得：颜色很漂亮，也很滋润，很喜欢。,使用心得：送货很快，东西也很好,使用心得：送女朋友的提前一天到货，不过颜色她挺喜欢的还不错,使用心得：收到就拆开了，就外观和质感而言，和我之前在专柜买的一样，网购也可以买到正品，我还是蛮开心的^_^,使用心得：第一次购买 很满意,使用心得：口红收到了，很满意，包装好，没有刺激性，滋润效果好，性价比很高，下次还会光顾的哦，好评,使用心得：送女朋友的…总体上还是不错的，对于色号什么的…我真是…一脸懵逼啊…据她说…感觉还是不错的，,使用心得：宝贝收到，和卖家描述的完全一致。包装很完整，保湿时间长润唇效果好。,使用心得：之前就用过他们家的口红 感觉比一般的口红都滋润 所以这次就又来买了 还是跟之前用的一样滋润 颜色超级好看 超级美 喜欢
使用心得：包装挺漂亮，口颜色有点淡，不过质量还好。,使用心得：499减100买的，第一只迪奥，好喜欢，包装很简陋，但口红没损坏，颜色很自然，珊瑚红带点点橘色，微闪。照片有点粉，实际更好看哦,使用心得：给老婆买的，好多颜色都没货，只有这个颜色有货！感觉还不错，盖子里面居然是磁吸的，高科技啊！不知道真的假的？。。,使用心得：我觉得一般吧，也不是特别滋润。这个536颜色正红色涂了像大玫红。，商品的包装很差，塑封也没有，我觉得有可能是换的口红芯儿也不一定哟。毕竟大牌多造假。,使用心得：满减划算～品质可靠，特别润～快递神速！囤货,使用心得：是正品 用起来特别滋润 这是第一遍涂上去的 比较淡 饭后再涂一次颜色会加深 更漂亮！,使用心得：收到还没送出去，不过送的人好像不怎么知道化妆品。。。郁闷,使用心得：大半夜的纠结颜色。很好看很百搭的暖色。满减超划算～,使用心得：第二天就送到了 很快 很便宜,使用心得：给老婆买的过年礼也是生日礼，选京东自营快递好多颜色都没货，只有这个颜色感觉好点！收到后感觉还不错，第一次买这么奢侈品的唇膏，期望老婆喜欢！盖子里面居然是磁吸的，高科技啊！
使用心得：货真价实，相信京东，颜色很好看，是我理想中的那一款。还赠送礼品~,使用心得：刚刚收到，从床上蹦起来跑了老远，老公买的，包装完好无损，打开有淡淡的香味,使用心得：颜色不错，很好的产品。个人感觉比迪奥好用，不容易掉色，支持京东，拒绝水货。,使用心得：不错，应该是正品，不像别的买家收到的有划伤次品什么的，挺满意的，,使用心得：非常好，妈妈很喜欢，物流配送很快，店家态度非常好…,使用心得：宝贝今天收到了，朋友很喜欢，粉粉嫩嫩的，涂上还显年轻，超喜欢?！,使用心得：东西收到了 颜色一般  其他的自己看图吧 …,使用心得：很不错，送给老公妈妈的，希望能喜欢！,使用心得：柔软舒适，颜色很漂亮，包装简单大气，弹簧的，很方便。,使用心得：不错不错不错不错
使用心得：不错哦 送给我女朋友的,使用心得：这次在京东自营买的唇釉，等了好久才有货的，比之前在全球购上买的发货快很多，两天就收到货啦，一看就是正品，包装也很用心的，大爱京东！一如既往的好,使用心得：是正品，口红颜色非常好看，显白，适合夏天，物流速度很快，商家服务态度也非常好，收藏店铺，以后就在这买了,使用心得：还行，色彩饱和度很高,使用心得：今天我跟媳妇吵架了，可后来我就想：我一个大男人，为什么要和一个女人计较，更何况还是自己的媳妇！我当时就道歉了.道完歉，媳妇也很高兴，她把手里的菜刀放下了，她妹妹抓着我头发的手也松开了，她哥手里的砖头放下了，她弟弟手里的铁楸也放下了，丈母娘手里的擀面杖也扔了，老丈人拿出手机说道：棺材还退回去吧。看看，只要多沟通，生活还是蛮和谐的………,使用心得：颜色还可以，买了送给老姐的，看了比较喜欢。就是物流太慢了。,使用心得：包装盒还行，要是有原装袋子就好了,使用心得：送朋友的，朋友很喜欢这个颜色。,使用心得：给女朋友的，还不知道怎么样,使用心得：实话实话，送女朋友的、第一次买第三方产品，本以为是电子发票，刚才细看了下，结果是纸质发票，那么问题来了？请问发票上哪儿去了？不敢说这是正品，只是能证明身份的东西不会在，也没有告诉男女朋友这事。
使用心得：这次在京东自营买的唇釉，等了好久才有货的，比之前在全球购上买的发货快很多，两天就收到货啦，一看就是正品，包装也很用心的，大爱京东！一如既往的好,使用心得：还行，色彩饱和度很高,使用心得：今天我跟媳妇吵架了，可后来我就想：我一个大男人，为什么要和一个女人计较，更何况还是自己的媳妇！我当时就道歉了.道完歉，媳妇也很高兴，她把手里的菜刀放下了，她妹妹抓着我头发的手也松开了，她哥手里的砖头放下了，她弟弟手里的铁楸也放下了，丈母娘手里的擀面杖也扔了，老丈人拿出手机说道：棺材还退回去吧。看看，只要多沟通，生活还是蛮和谐的………,使用心得：给媳妇买的 物流比较到位,使用心得：很好很好很好,使用心得：女朋友说很喜欢，不错！,使用心得：赞赞赞赞赞赞赞赞,使用心得：不错哦 送给我女朋友的,使用心得：还没用看着挺好,使用心得：实话实话，送女朋友的、第一次买第三方产品，本以为是电子发票，刚才细看了下，结果是纸质发票，那么问题来了？请问发票上哪儿去了？不敢说这是正品，只是能证明身份的东西不会在，也没有告诉男女朋友这事。
使用心得：货真价实，相信京东，颜色很好看，是我理想中的那一款。还赠送礼品~,使用心得：很好，宝宝很喜欢，很开心。谢谢这么给力的价格，给力的快递！新年快乐，恭喜发财！,使用心得：颜色不错，很好的产品。个人感觉比迪奥好用，不容易掉色，支持京东，拒绝水货。,使用心得：不错，应该是正品，不像别的买家收到的有划伤次品什么的，挺满意的，,使用心得：买来送给女朋友的，希望女朋友喜欢了。,使用心得：宝贝今天收到了，朋友很喜欢，粉粉嫩嫩的，涂上还显年轻，超喜欢?！,使用心得：东西收到了 颜色一般  其他的自己看图吧 …,使用心得：柔软舒适，颜色很漂亮，包装简单大气，弹簧的，很方便。,使用心得：很漂亮，一直在用香奈儿的口红。,使用心得：哈哈哈红红火火恍恍惚惚
使用心得：物流速度很快，一开始还担心运输的的过程中担心口红损坏。。。收到货以后发现这个担心完全是多余了，包装很完整。。。用来送人是完全没有问题了。收藏店铺了。,使用心得：颜色非常正，非常喜欢，物流非常快，比预期的到的要快，很喜欢！,使用心得：还可以吧媳妇喜欢是不是真品就不知道了给个好评吧,使用心得：还没使用！送女朋友的！希望她能够喜欢！爱她就要给她最好的,使用心得：媳妇说不好用，颜色太淡,使用心得：正品，老婆非常喜欢，用完了还要来买,使用心得：好看！喜庆！很显得皮肤白！女人就是应该擦口红～,使用心得：挺好的，朋友挺喜欢的,使用心得：还可以，，应该是正品，，，颜色也挺漂亮,使用心得：很好很喜欢，物流很快，京东商城，值得信赖



使用心得：咱家的美女都喜欢迪奥品牌，就是价格比其他店要贵一点，只要货的正品就无所谓了。图片里的迪奥包装来自专卖店，希望你的包装换成一样的。,使用心得：配送蛮快的，第一次买这些东西，感觉挺好，包装啥的也都到位，原谅我过渣的拍照技术,使用心得：东西不错 就是不知道是不是正品,使用心得：收到货打开一看，口红上边有一层小水珠，当时就沉默了，询问客服说是俗称的出汗现象，有时间去专柜问问。给我媳妇买的生日礼物，抹上一次，颜色挺正的，香气也好闻，女人应该有一个大红色的口红。,使用心得：确实很不错，很好哒很好哒！！,使用心得：东西非常好，就是物流的速度太慢了。这一回，对物流不满意，其他的都没有。商家的发票寄来很及时，收到发票一个星期之后东西才收到我也是无语啦，希望下次能够再快。谢谢！,使用心得：很不错，很好，很好用，女朋友很喜欢，应该是正品，看着还不错。,使用心得：东西收到几天、送朋友的、买的时候说要送礼盒结果收到就是这样子、有点………哎、,使用心得：已经用了，感觉比较正，很滋润，颜色好看,使用心得：应该是真的吧，只是口红的外壳，跟店里买的不太一样，薄很多

使用心得：咱家的美女都喜欢迪奥品牌，就是价格比其他店要贵一点，只要货的正品就无所谓了。图片里的迪奥包装来自专卖店，希望你的包装换成一样的。,使用心得：东西收到几天、送朋友的、买的时候说要送礼盒结果收到就是这样子、有点………哎、,使用心得：东西不错 就是不知道是不是正品,使用心得：收到货打开一看，口红上边有一层小水珠，当时就沉默了，询问客服说是俗称的出汗现象，有时间去专柜问问。给我媳妇买的生日礼物，抹上一次，颜色挺正的，香气也好闻，女人应该有一个大红色的口红。,使用心得：确实很不错，很好哒很好哒！！,使用心得：买个朋友的、还没送，不过看着不错，希望朋友喜欢吧！,使用心得：很不错，很好，很好用，女朋友很喜欢，应该是正品，看着还不错。,使用心得：已经用了，感觉比较正，很滋润，颜色好看,使用心得：……好好好好好好,使用心得：非常好的卖家，很热情啊，下次还会来的~宝贝很不错!
使用心得：这次在京东自营买的唇釉，等了好久才有货的，比之前在全球购上买的发货快很多，两天就收到货啦，一看就是正品，包装也很用心的，大爱京东！一如既往的好,使用心得：好漂亮的色，不错,使用心得：还行，色彩饱和度很高,使用心得：今天我跟媳妇吵架了，可后来我就想：我一个大男人，为什么要和一个女人计较，更何况还是自己的媳妇！我当时就道歉了.道完歉，媳妇也很高兴，她把手里的菜刀放下了，她妹妹抓着我头发的手也松开了，她哥手里的砖头放下了，她弟弟手里的铁楸也放下了，丈母娘手里的擀面杖也扔了，老丈人拿出手机说道：棺材还退回去吧。看看，只要多沟通，生活还是蛮和谐的………,使用心得：是正品 知道这个信息就可以了,使用心得：我对象非常喜欢，啦啦啦啦啦,使用心得：还是很不错的，女朋友很喜欢。,使用心得：东西不错，女朋友很喜欢,使用心得：不错哦 送给我女朋友的,使用心得：实话实话，送女朋友的、第一次买第三方产品，本以为是电子发票，刚才细看了下，结果是纸质发票，那么问题来了？请问发票上哪儿去了？不敢说这是正品，只是能证明身份的东西不会在，也没有告诉男女朋友这事。
使用心得：物流速度很快，一开始还担心运输的的过程中担心口红损坏。。。收到货以后发现这个担心完全是多余了，包装很完整。。。用来送人是完全没有问题了。收藏店铺了。,使用心得：给朋友买的 朋友很满意,使用心得：还可以吧媳妇喜欢是不是真品就不知道了给个好评吧,使用心得：还行吧，看着质量不错，挺湿润的。不知道用后好不好。,使用心得：还没使用！送女朋友的！希望她能够喜欢！爱她就要给她最好的,使用心得：京东的物流，还是挺快的，刚到，媳妇还没开始用，看的是挺好的，还送了个桃心的小铁盒。,使用心得：媳妇说不好用，颜色太淡,使用心得：东西不错，就是包装盒有点小了，希望能弄大一点的，总的来说还是很不错，给个好评,使用心得：送人的，不过朋友很喜欢，至于具体怎么样就看她用过之后了，她高兴就行呗。,使用心得：帮同事买的，颜色很好，很自然水润

使用心得：货真价实，相信京东，颜色很好看，是我理想中的那一款。还赠送礼品~,使用心得：客服我真的是服了 让我怀疑你们的商品 物流是咩话说,使用心得：很好，宝宝很喜欢，很开心。谢谢这么给力的价格，给力的快递！新年快乐，恭喜发财！,使用心得：不错，应该是正品，不像别的买家收到的有划伤次品什么的，挺满意的，,使用心得：宝贝今天收到了，朋友很喜欢，粉粉嫩嫩的，涂上还显年轻，超喜欢?！,使用心得：货收到了非常的好，女朋友也一定会喜欢下次有需要一定在来还比较高端,使用心得：东西收到了 颜色一般  其他的自己看图吧 …,使用心得：柔软舒适，颜色很漂亮，包装简单大气，弹簧的，很方便。,使用心得：不错不错不错不错,使用心得：很不错，一点都不干，颜色很正，涂抹后没有什么异物感



使用心得：收到打开后香味很浓，壳子看起来还可以，颜色也行，就是味道大，不太滋润，不知道是不是正品，之前用的大的基本没有什么香味，先用用看吧！,使用心得：小小一只，用着有点紫红的感觉,使用心得：这款的颜色很低调，和唇色很接近，但很好看滋润度不错，还有一股淡淡的味道，,使用心得：是正品，而且也比实体店的便宜的多，持久性挺强的,使用心得：我觉得性价比还不错，喜欢这个颜色，相对来说不会太干的，颜色很正，香气不错，物有所值，非常的满意。,使用心得：口红是正品，涂上挺润的，喜欢,使用心得：滋润度不错，颜色正，上色容易，滋润度不错，颜色正，上色容易，,使用心得：颜色很不错、称人白，抹着很舒服，不干,使用心得：挺好的，包装特别精细，价格实惠，颜色很漂亮，化装效果不错，挺喜欢的,使用心得：口红不错，颜色鲜艳漂亮，不掉色，用着也很舒服，价格合理，非常满意

使用心得：非常好的商品，好可爱呢,使用心得：包装精致，唇膏很滋润，颜色很自然哦，非常好看，味道也很好闻，值得入手哦！,使用心得：看样子不错    暂时还没用呢?,使用心得：这款迪奥（Dior）润唇膏粉红魅惑淡粉色的，净含量3.5g，包含：复合维他命、大马士革玫瑰精油、胶原蛋白和乳木果油，有润唇保湿之功效，送给姑娘非常不错。,使用心得：不错  送的小礼物也很好 送女朋友的  很好满分,使用心得：送给喜欢的人，不知道选那个好就选大牌的品质有保证,使用心得：包装精致，唇膏很滋润，颜色很自然哦，非常好看，味道也很好闻，值得入手哦！已第二次购买。支持京东。给力。,使用心得：非常漂亮，，母亲节送人的，味道也很不错，颜色很适合～～,使用心得：相信京东，东西是正品，价格实惠，快递不多说，买的礼盒装！老婆很喜欢，味道很好闻，女人迪奥，男人奥迪！,使用心得：是正品，找人鉴定过了，不过看贴的标签。。。难道是专柜货。。。不过条码扫不到，应该没问题
使用心得：是正品，和专柜一样，膏体很顺滑 好涂.着色度很好.非常滋润，外壳包装也非常漂亮.贺卡可爱，口红颜色不错喜欢?,使用心得：发货和送货都很快，我开始拿到的时候还以为是鞋盒子，超大一个，口红被保护的很好。384颜色真的是帅爆了，很容易上色，亚光，颜色很好看，而且很持久防水，味道也超级好闻。,使用心得：365色号 用了一次闲置了*,使用心得：一收到就迫不及待的擦上了??,使用心得：东西不错，应该是正品，不过用报纸包裹包装就太low了～,使用心得：扫码提示来自法国，应该是正品，膏体没有损伤，有淡淡的玫瑰香味，包装有点儿简单化，没有塑封也没有袋子，整体还好,使用心得：物流蛮快的，拿到就试了下，颜色还蛮好看的，香香的味道，不干挺滋润，看中的颜色两款都没货，退而求其次这个还算满意。,使用心得：商品很好，但是不知道是物流还是什么原因。收货后是这样的。买了送人的，刚打开就这样。习惯给五星好评了,使用心得：很润，颜色很好看，很满意，比之前的口红上色效果都好！爱死了,使用心得：这款兰蔻口红，涂上感觉还不错，蛮滋润的。
使用心得：确定是专柜货，是正品！！！口红颜色很漂亮，保湿效果很赞，还送了很漂亮的礼盒和礼袋，店家人真是太好了，五星好评奉上,使用心得：物流很快就到了，口红颜色很漂亮，滋润度也很好，确定是正品，还送了礼盒和礼袋，真心喜欢，五星好评奉上,使用心得：之前在专柜买的，和这个一样，确定是正品。。。，没有色差，很滋润，不起皮，漂亮。。,使用心得：换成了唇膏的，完全是个惊喜，颜色超漂亮，好润好滑，比我之前专柜买的小羊皮高定好百倍呀，而且最重要是遮瑕能力好棒，这么久买到最合心意的唇膏，很开心,使用心得：到货之后还特地到实体店去对比了一下，完全正品，而且还比实体店便宜的多，不错,使用心得：给妈妈的母亲节礼物，妈妈超级喜欢，嘿嘿嘿 自己也买了一只，999红的很正，喜欢哦！入门口红必备！每天放在包里没事涂一下气色会好很多！,使用心得：正品行货，很满意的一次购物，口红很喜欢，一点都不干，很滋润。,使用心得：已经是第二次买了，真的是正品，推荐给大家，999颜色很漂亮，淡妆浓妆都很适宜，真心不错，好评,使用心得：口红很棒，店家很贴心的送了小礼物，真心不错，是正品，推荐给大家，真的很好看,使用心得：朋友很喜欢，谢谢啦~客服态度真的是超棒的~以后有需要还会再来~
使用心得：非常满意，漂亮，涂上很有女人味，嘴唇不干,使用心得：涂上去颜色特别好看 适合肤色白一点的人用。,使用心得：很有气场的颜色，很心水，很方便小小一支,使用心得：喜欢，颜色很自然，低调不张扬，适合上班族。,使用心得：东西不错，很适合想要的人,使用心得：有点感觉买到假货了，掉色很快！心里很不爽,使用心得：颜色好看  很喜欢用  大爱,使用心得：宝贝不错，很好用 喜欢,使用心得：超级棒，喜欢的宝贝们，快快下手吧！,使用心得：很不错，老婆很喜欢。值了


使用心得：涂起来很方便，好看，不愧是兰蔻，果然是pretty good 。而且我的同事也有问我在哪里买的，我有那么一瞬间觉得自己的眼光真好，哈哈哈哈哈哈??????,使用心得：发货很快，颜色很漂亮，是我喜欢的颜色，不错。,使用心得：实在是太好了，实在没想到能买到这样的东西，迷你版的，还没我手指头粗，本来要送女朋友，可是，这怎么让我拿的出手,使用心得：口红很香很香，还没开始用，今天刚收到的，买了两种小样，都挺喜欢的，大的老用不完，小样方便携带，就是小样颜色不全，以后还会继续回购的,使用心得：挺喜欢的，mini 款挺小的，但是转出来口红也够用了，不错不错，口红颜色有点淡，是带点橘色的珊瑚色，本来挺喜欢的,使用心得：蛮小巧，颜色不错,使用心得：一次买了不少东西 全球购满减 挺好呢 支持和京东商城,使用心得：还不错，味道香香的，很容易涂，涂薄薄一层适合日常，浓妆可以涂厚一点，颜色偏玫红色,使用心得：挺好看的，比较滋润，出门携带非常方便,使用心得：很喜欢，香香的，就是太小了，

使用心得：很好用，颜色非常漂亮。很值得拥有 好评,使用心得：颜色很漂亮，也很滋润，很喜欢。,使用心得：送货很快，东西也很好,使用心得：送女朋友的提前一天到货，不过颜色她挺喜欢的还不错,使用心得：收到就拆开了，就外观和质感而言，和我之前在专柜买的一样，网购也可以买到正品，我还是蛮开心的^_^,使用心得：第一次购买 很满意,使用心得：口红收到了，很满意，包装好，没有刺激性，滋润效果好，性价比很高，下次还会光顾的哦，好评,使用心得：送女朋友的…总体上还是不错的，对于色号什么的…我真是…一脸懵逼啊…据她说…感觉还是不错的，,使用心得：宝贝收到，和卖家描述的完全一致。包装很完整，保湿时间长润唇效果好。,使用心得：之前就用过他们家的口红 感觉比一般的口红都滋润 所以这次就又来买了 还是跟之前用的一样滋润 颜色超级好看 超级美 喜欢
使用心得：包装挺漂亮，口颜色有点淡，不过质量还好。,使用心得：499减100买的，第一只迪奥，好喜欢，包装很简陋，但口红没损坏，颜色很自然，珊瑚红带点点橘色，微闪。照片有点粉，实际更好看哦,使用心得：给老婆买的，好多颜色都没货，只有这个颜色有货！感觉还不错，盖子里面居然是磁吸的，高科技啊！不知道真的假的？。。,使用心得：我觉得一般吧，也不是特别滋润。这个536颜色正红色涂了像大玫红。，商品的包装很差，塑封也没有，我觉得有可能是换的口红芯儿也不一定哟。毕竟大牌多造假。,使用心得：满减划算～品质可靠，特别润～快递神速！囤货,使用心得：是正品 用起来特别滋润 这是第一遍涂上去的 比较淡 饭后再涂一次颜色会加深 更漂亮！,使用心得：收到还没送出去，不过送的人好像不怎么知道化妆品。。。郁闷,使用心得：大半夜的纠结颜色。很好看很百搭的暖色。满减超划算～,使用心得：第二天就送到了 很快 很便宜,使用心得：给老婆买的过年礼也是生日礼，选京东自营快递好多颜色都没货，只有这个颜色感觉好点！收到后感觉还不错，第一次买这么奢侈品的唇膏，期望老婆喜欢！盖子里面居然是磁吸的，高科技啊！
使用心得：货真价实，相信京东，颜色很好看，是我理想中的那一款。还赠送礼品~,使用心得：刚刚收到，从床上蹦起来跑了老远，老公买的，包装完好无损，打开有淡淡的香味,使用心得：颜色不错，很好的产品。个人感觉比迪奥好用，不容易掉色，支持京东，拒绝水货。,使用心得：不错，应该是正品，不像别的买家收到的有划伤次品什么的，挺满意的，,使用心得：非常好，妈妈很喜欢，物流配送很快，店家态度非常好…,使用心得：宝贝今天收到了，朋友很喜欢，粉粉嫩嫩的，涂上还显年轻，超喜欢?！,使用心得：东西收到了 颜色一般  其他的自己看图吧 …,使用心得：很不错，送给老公妈妈的，希望能喜欢！,使用心得：柔软舒适，颜色很漂亮，包装简单大气，弹簧的，很方便。,使用心得：不错不错不错不错
使用心得：不错哦 送给我女朋友的,使用心得：这次在京东自营买的唇釉，等了好久才有货的，比之前在全球购上买的发货快很多，两天就收到货啦，一看就是正品，包装也很用心的，大爱京东！一如既往的好,使用心得：是正品，口红颜色非常好看，显白，适合夏天，物流速度很快，商家服务态度也非常好，收藏店铺，以后就在这买了,使用心得：还行，色彩饱和度很高,使用心得：今天我跟媳妇吵架了，可后来我就想：我一个大男人，为什么要和一个女人计较，更何况还是自己的媳妇！我当时就道歉了.道完歉，媳妇也很高兴，她把手里的菜刀放下了，她妹妹抓着我头发的手也松开了，她哥手里的砖头放下了，她弟弟手里的铁楸也放下了，丈母娘手里的擀面杖也扔了，老丈人拿出手机说道：棺材还退回去吧。看看，只要多沟通，生活还是蛮和谐的………,使用心得：颜色还可以，买了送给老姐的，看了比较喜欢。就是物流太慢了。,使用心得：包装盒还行，要是有原装袋子就好了,使用心得：送朋友的，朋友很喜欢这个颜色。,使用心得：给女朋友的，还不知道怎么样,使用心得：实话实话，送女朋友的、第一次买第三方产品，本以为是电子发票，刚才细看了下，结果是纸质发票，那么问题来了？请问发票上哪儿去了？不敢说这是正品，只是能证明身份的东西不会在，也没有告诉男女朋友这事。
使用心得：这次在京东自营买的唇釉，等了好久才有货的，比之前在全球购上买的发货快很多，两天就收到货啦，一看就是正品，包装也很用心的，大爱京东！一如既往的好,使用心得：还行，色彩饱和度很高,使用心得：今天我跟媳妇吵架了，可后来我就想：我一个大男人，为什么要和一个女人计较，更何况还是自己的媳妇！我当时就道歉了.道完歉，媳妇也很高兴，她把手里的菜刀放下了，她妹妹抓着我头发的手也松开了，她哥手里的砖头放下了，她弟弟手里的铁楸也放下了，丈母娘手里的擀面杖也扔了，老丈人拿出手机说道：棺材还退回去吧。看看，只要多沟通，生活还是蛮和谐的………,使用心得：给媳妇买的 物流比较到位,使用心得：很好很好很好,使用心得：女朋友说很喜欢，不错！,使用心得：赞赞赞赞赞赞赞赞,使用心得：不错哦 送给我女朋友的,使用心得：还没用看着挺好,使用心得：实话实话，送女朋友的、第一次买第三方产品，本以为是电子发票，刚才细看了下，结果是纸质发票，那么问题来了？请问发票上哪儿去了？不敢说这是正品，只是能证明身份的东西不会在，也没有告诉男女朋友这事。
使用心得：货真价实，相信京东，颜色很好看，是我理想中的那一款。还赠送礼品~,使用心得：很好，宝宝很喜欢，很开心。谢谢这么给力的价格，给力的快递！新年快乐，恭喜发财！,使用心得：颜色不错，很好的产品。个人感觉比迪奥好用，不容易掉色，支持京东，拒绝水货。,使用心得：不错，应该是正品，不像别的买家收到的有划伤次品什么的，挺满意的，,使用心得：买来送给女朋友的，希望女朋友喜欢了。,使用心得：宝贝今天收到了，朋友很喜欢，粉粉嫩嫩的，涂上还显年轻，超喜欢?！,使用心得：东西收到了 颜色一般  其他的自己看图吧 …,使用心得：柔软舒适，颜色很漂亮，包装简单大气，弹簧的，很方便。,使用心得：很漂亮，一直在用香奈儿的口红。,使用心得：哈哈哈红红火火恍恍惚惚
使用心得：物流速度很快，一开始还担心运输的的过程中担心口红损坏。。。收到货以后发现这个担心完全是多余了，包装很完整。。。用来送人是完全没有问题了。收藏店铺了。,使用心得：颜色非常正，非常喜欢，物流非常快，比预期的到的要快，很喜欢！,使用心得：还可以吧媳妇喜欢是不是真品就不知道了给个好评吧,使用心得：还没使用！送女朋友的！希望她能够喜欢！爱她就要给她最好的,使用心得：媳妇说不好用，颜色太淡,使用心得：正品，老婆非常喜欢，用完了还要来买,使用心得：好看！喜庆！很显得皮肤白！女人就是应该擦口红～,使用心得：挺好的，朋友挺喜欢的,使用心得：还可以，，应该是正品，，，颜色也挺漂亮,使用心得：很好很喜欢，物流很快，京东商城，值得信赖



